Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,128,qkvo_proj,128,128,16.0,0.13,280.8,120.47,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,128,q@k_T,128,128,0.12,0.0,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,128,softmax,128,128,0.0,0.0,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,128,score@v,128,128,0.12,0.0,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,128,up(w1),128,128,14.0,0.11,280.8,123.06,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,128,down(w2),128,128,14.0,0.11,280.8,123.06,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,128,128,gate(w3),128,128,14.0,0.11,280.8,123.06,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,128,qkvo_proj,128,128,64.0,0.16,280.8,409.6,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,128,q@k_T,128,128,0.5,0.01,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,128,softmax,128,128,0.01,0.01,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,128,score@v,128,128,0.5,0.01,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,128,up(w1),128,128,56.0,0.13,280.8,441.11,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,128,down(w2),128,128,56.0,0.13,280.8,441.11,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,128,gate(w3),128,128,56.0,0.13,280.8,441.11,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,128,qkvo_proj,128,128,256.0,0.25,280.8,1024.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,128,q@k_T,128,128,2.0,0.04,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,128,softmax,128,128,0.04,0.03,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,128,score@v,128,128,2.0,0.04,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,128,up(w1),128,128,224.0,0.18,280.8,1246.61,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,128,down(w2),128,128,224.0,0.18,280.8,1246.61,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,128,gate(w3),128,128,224.0,0.18,280.8,1246.61,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,24,128,128,qkvo_proj,128,128,384.0,0.31,280.8,1228.8,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,24,128,128,q@k_T,128,128,3.0,0.05,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,24,128,128,softmax,128,128,0.06,0.05,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,24,128,128,score@v,128,128,3.0,0.05,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,24,128,128,up(w1),128,128,336.0,0.21,280.8,1563.93,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,24,128,128,down(w2),128,128,336.0,0.21,280.8,1563.93,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,24,128,128,gate(w3),128,128,336.0,0.21,280.8,1563.93,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,28,128,128,qkvo_proj,128,128,448.0,0.34,280.8,1303.27,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,28,128,128,q@k_T,128,128,3.5,0.06,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,28,128,128,softmax,128,128,0.07,0.05,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,28,128,128,score@v,128,128,3.5,0.06,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,28,128,128,up(w1),128,128,392.0,0.23,280.8,1686.59,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,28,128,128,down(w2),128,128,392.0,0.23,280.8,1686.59,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,28,128,128,gate(w3),128,128,392.0,0.23,280.8,1686.59,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,128,qkvo_proj,128,128,512.0,0.38,280.8,1365.33,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,128,q@k_T,128,128,4.0,0.07,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,128,softmax,128,128,0.08,0.06,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,128,score@v,128,128,4.0,0.07,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,128,up(w1),128,128,448.0,0.25,280.8,1792.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,128,down(w2),128,128,448.0,0.25,280.8,1792.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,128,gate(w3),128,128,448.0,0.25,280.8,1792.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,48,128,128,qkvo_proj,128,128,768.0,0.5,280.8,1536.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,48,128,128,q@k_T,128,128,6.0,0.11,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,48,128,128,softmax,128,128,0.12,0.09,1.88,1.25,memory
